download_time,name,source_format,url,event_uuid,data_type,data_size,threat_level,event_date
2025-12-05T09:38:00.055109,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/2c81e393-628f-4869-a7b4-23ea4d0c07a3.json,2c81e393-628f-4869-a7b4-23ea4d0c07a3,json,459,2,2025-11-28T00:03:06
2025-12-05T09:38:00.113779,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/aa5da4b6-9748-4f50-9aa5-f27f92fa596b.json,aa5da4b6-9748-4f50-9aa5-f27f92fa596b,json,537,2,2025-12-01T00:03:07
2025-12-05T09:38:00.118312,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/a16ce364-7ef2-42b7-8314-2de9e78f0243.json,a16ce364-7ef2-42b7-8314-2de9e78f0243,json,370,2,2025-12-03T00:03:06
2025-12-05T09:38:00.135178,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/389fde9c-1b43-4365-8deb-85b48c7de355.json,389fde9c-1b43-4365-8deb-85b48c7de355,json,660,2,2025-12-05T00:03:06
2025-12-05T09:38:00.158044,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/f578f328-7da5-434b-83ab-7b48b9a14a34.json,f578f328-7da5-434b-83ab-7b48b9a14a34,json,2012,2,2025-12-02T00:03:06
2025-12-05T09:38:00.166010,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/787ab5d4-fcd2-442f-99fe-a30ab2266a38.json,787ab5d4-fcd2-442f-99fe-a30ab2266a38,json,751,2,2025-12-04T00:03:07
2025-12-05T09:38:00.172055,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/91c0d217-14ee-42f3-a046-c42065612747.json,91c0d217-14ee-42f3-a046-c42065612747,json,565,2,2025-11-26T00:03:06
2025-12-05T09:38:00.180140,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/e674d688-774c-4624-9d0c-8a4139f23068.json,e674d688-774c-4624-9d0c-8a4139f23068,json,809,2,2025-11-27T00:03:06
2025-12-05T09:38:00.251631,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//c4eb42e6-61b8-4504-ac1c-4bbc583adae1.json,c4eb42e6-61b8-4504-ac1c-4bbc583adae1,json,1524,2,2025-11-30T00:03:02
2025-12-05T09:38:00.329122,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/e7827b8e-d54b-4b58-b04a-1497b46ebcc5.json,e7827b8e-d54b-4b58-b04a-1497b46ebcc5,json,1452,2,2025-12-01T00:15:16
2025-12-05T09:38:00.362010,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/4dcb6001-a51d-48f9-98f1-cfa3ce68a44f.json,4dcb6001-a51d-48f9-98f1-cfa3ce68a44f,json,1869,2,2025-11-30T00:15:17
